id,is_structure,is_company,partner_type,name,category_id/id,struct_date_begin,struct_date_end,structure_capacity,city,country_id/id,email,mobile,phone,website,facebook,instagram,comment
festival_1,1,1,festival,Les Déferlantes Sud de France,partner_category_type.festival_tag,2020-07-19,2020-07-21,sup10k,Argeles sur mer,base.fr,,,,https://festival-lesdeferlantes.com/,https://www.facebook.com/lesdeferlantessuddefrance/,,
festival_2,1,1,festival,YEAH!,"partner_category_type.festival_tag,partner_structure.electro_tag",2020-06-02,2020-06-04,sup10k,Lourmarin,base.fr,,,,https://festivalyeah.fr,https://www.facebook.com/FestivalYEAH,,
festival_3,1,1,festival,Terre de Couleurs,partner_category_type.festival_tag,2020-07-20,2020-07-20,sup1k,Daumazan sur Arize,base.fr,,,,http://www.terredecouleurs.asso.fr/,,,
festival_4,1,1,festival,Au Fil du Son,partner_category_type.festival_tag,2020-07-25,2020-07-27,sup30k,Civray,base.fr,,,,http://www.lachmiseverte.com/,,,
festival_5,1,1,festival,La Déferlante,"partner_category_type.festival_tag,partner_structure.acoustic_tag,partner_structure.municipality_tag",2020-07-01,2020-08-01,sup1k,Nantes,base.fr,,,,https://www.ladeferlante.com/contact/,https://www.facebook.com/festivalladeferlante,,
festival_6,1,1,festival,Les Transes Cévenoles,"partner_category_type.festival_tag,partner_structure.acoustic_tag",2020-07-21,2020-07-22,sup1k,Sumène,base.fr,,,,,,,
festival_7,1,1,festival,Marseille Jazz des 5 continents,"partner_category_type.festival_tag,partner_structure.jazz_tag",2020-07-17,2020-07-27,sup5k,Marseille,base.fr,,,,https://www.marseillejazz.com,https://www.facebook.com/MarseilleJazzdescinqcontinents,,
festival_8,1,1,festival,Nice Jazz Festival,"partner_category_type.festival_tag,partner_structure.municipality_tag,partner_structure.jazz_tag",2020-07-16,2020-07-20,sup10k,Nice,base.fr,,,,http://www.nicejazzfestival.fr,https://www.facebook.com/NiceJazzFestival/,,
festival_9,1,1,festival,Festival de la Côte d'Opale,"partner_category_type.festival_tag,partner_structure.municipality_tag",2020-07-15,2020-07-20,sup10k,Boulogne-sur-mer ,base.fr,,,,https://www.festival-cotedopale.fr,https://www.facebook.com/festivaldelacotedopale/,,
festival_10,1,1,festival,Marly Jazz,"partner_category_type.festival_tag,partner_structure.jazz_tag",2020-05-31,2020-06-02,sup1k,Marly,base.fr,,,,http://marlyjazzfestival.com/,https://www.facebook.com/marlyjazzfestival/,,
festival_11,1,1,festival,Les Vieilles Charrues,partner_category_type.festival_tag,2020-07-16,2020-07-19,sup100k,Carhaix-Plouguer,base.fr,,,,https://www.vieillescharrues.asso.fr,https://www.facebook.com/lesvieillescharruesofficiel/,,
festival_12,1,1,festival,Paléo Festival,partner_category_type.festival_tag,2020-07-21,2020-07-26,sup100k,Nyon,base.ch,,,,https://yeah.paleo.ch/fr,https://www.facebook.com/paleofestivalnyon,,
festival_13,1,1,festival,Les Enfants du Jazz,"partner_category_type.festival_tag,partner_structure.jazz_tag",2020-07-16,2020-07-28,sup1k,Barcelonette,base.fr,,,,http://www.barcelonnette.com/les-enfants-du-jazz/le-festival.html,https://www.facebook.com/FestivalDesEnfantsDuJazz/,,
festival_14,1,1,festival,Terres du Son,partner_category_type.festival_tag,2020-07-10,,sup10k,Tours,base.fr,,,,https://www.terresduson.com/,https://www.facebook.com/festivalterresduson/,,
